Ref,Val,Package,PosX,PosY,Rot,Side
"J3","GPIO","PinHeader_1x14_P2.54mm_Vertical",10.798375,30.683730,90.000000,bottom
"J4","PWR and ANALOG","PinHeader_1x14_P2.54mm_Vertical",10.798375,45.894719,90.000000,bottom
"C1","1uf","C_0603_1608Metric",-1.175000,38.510775,90.000000,top
"C2","1uf","C_0603_1608Metric",-0.550000,34.710775,0.000000,top
"C3","1uf","C_0603_1608Metric",4.025000,33.910775,180.000000,top
"C4","1uf","C_0603_1608Metric",10.500000,41.150000,0.000000,top
"C5","4.7uF","C_1206_3216Metric",-13.900000,39.400000,0.000000,top
"C6","100uF","C_1206_3216Metric",-13.900000,36.900000,0.000000,top
"C7","47uF","C_1206_3216Metric",-13.900000,34.300000,0.000000,top
"C10","1uF","C_0603_1608Metric",3.450000,43.500000,180.000000,top
"D1","PWR","LED_0603_1608Metric",-17.400000,39.400000,90.000000,top
"D2","L","LED_0603_1608Metric",-17.400000,35.900000,-90.000000,top
"D3","SMAJ36CA","D_SMA",-10.500000,43.000000,180.000000,top
"F1","5A","Fuse_0603_1608Metric",8.212500,43.500000,-90.000000,top
"J1","UPDI Header","PinHeader_2x03_P2.54mm_Vertical",-27.675000,40.690000,0.000000,top
"L1","2.2uH","L_Taiyo-Yuden_NR-40xx",-4.500000,35.800000,0.000000,top
"L2","2.2uH","L_Taiyo-Yuden_NR-40xx",-4.500000,41.400000,0.000000,top
"R2","330","R_0402_1005Metric",0.950000,42.200000,0.000000,top
"R3","330","R_0402_1005Metric",-17.910000,33.750000,0.000000,top
"R4","330","R_0402_1005Metric",-17.400000,41.900000,0.000000,top
"SW1","SW_SP3T","SW_SP3T_PCM13",17.500000,38.289225,90.000000,top
"SW2","RST","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",-21.250000,38.100000,90.000000,top
"U1","AVR128DB32x-xRXB","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",3.387500,38.300000,0.000000,top
"U2","LT8653SEV_PBF","QFN-20-1EP_3x4mm_P0.5mm_EP1.65x2.65mm",-9.250000,38.289225,0.000000,top
